CustomerID,Gender,Location,Tenure,TransactionID,Date,SKU,Description,Category,Quantity,Price,Delivery,CouponStatus,DiscountPCT,TotalPrice,OfflineSpend,OnlineSpend
17850.0,M,Chicago,New Customer (< 1 year),16679.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,153.71,6.5,Used,10.0,158.67,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16680.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,153.71,6.5,Used,10.0,158.67,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16696.0,2019-01-01,GGOENEBQ078999,Nest Outdoor Camera,Nest-USA,2.0,122.77,6.5,Not Used,10.0,276.59,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16699.0,2019-01-01,GGOENEBQ079099,Nest Battery Alarm,Nest-USA,1.0,81.5,6.5,Clicked,10.0,96.15,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16700.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,153.71,6.5,Clicked,10.0,175.58,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16701.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,153.71,6.5,Clicked,10.0,175.58,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16702.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,2.0,153.71,6.5,Clicked,10.0,344.66,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16703.0,2019-01-01,GGOENEBQ079099,Nest Battery Alarm,Nest-USA,2.0,81.5,6.5,Not Used,10.0,185.8,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16704.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,256.88,6.5,Used,10.0,260.81,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16710.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,153.71,28.78,Clicked,10.0,197.86,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16713.0,2019-01-01,GGOENEBQ078999,Nest Outdoor Camera,Nest-USA,1.0,122.77,6.5,Used,10.0,128.04,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16719.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,153.71,6.5,Not Used,10.0,175.58,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16720.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,153.71,6.5,Used,10.0,158.67,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16720.0,2019-01-01,GGOENEBQ078999,Nest Outdoor Camera,Nest-USA,1.0,122.77,6.5,Clicked,10.0,141.55,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16721.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,153.71,6.5,Clicked,10.0,175.58,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16722.0,2019-01-01,GGOENEBJ079499,Nest Thermostat (Steel),Nest-USA,1.0,153.71,6.5,Used,10.0,158.67,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16722.0,2019-01-01,GGOENEBQ078999,Nest Outdoor Camera,Nest-USA,2.0,122.77,6.5,Used,10.0,249.58,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16723.0,2019-01-01,GGOENEBB078899,Nest Indoor Camera,Nest-USA,1.0,122.77,6.5,Used,10.0,128.04,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16723.0,2019-01-01,GGOENEBQ078999,Nest Outdoor Camera,Nest-USA,1.0,122.77,6.5,Not Used,10.0,141.55,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16724.0,2019-01-01,GGOENEBB078899,Nest Indoor Camera,Nest-USA,1.0,122.77,6.5,Clicked,10.0,141.55,4500.0,2424.5
17850.0,M,Chicago,New Customer (< 1 year),16725.0,2019-01-01,GGOENEBB078899,Nest Indoor Camera,Nest-USA,1.0,122.77,6.5,Clicked,10.0,141.55,4500.0,2424.5
